标志,信号强度,版本号,心率,皮肤电,温度,IBI,x轴加速度,y轴加速度,z轴加速度,步数
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,94,202,114,138,26,7456,208,93,71,0
8,91,200,114,139,26,7456,208,93,71,0
9,82,200,114,153,26,7456,206,112,66,0
10,75,200,114,168,26,7456,205,97,62,0
11,86,199,76,170,26,5292,207,111,65,0
12,87,200,70,159,26,514,210,121,77,0
13,87,201,70,157,27,514,208,115,71,0
14,93,200,70,162,27,514,210,135,71,0
15,87,200,70,171,27,514,210,113,75,0
16,95,200,57,175,27,3880,209,115,113,0
17,95,201,54,178,27,847,210,141,79,0
18,80,199,51,178,27,775,207,150,183,0
19,80,200,49,175,27,766,209,166,185,0
20,79,201,48,175,27,761,209,167,183,0
21,79,201,45,175,27,772,208,166,183,0
22,84,201,45,172,27,800,209,169,182,0
23,89,200,45,189,27,800,211,163,61,0
24,81,200,41,187,27,2502,210,144,178,0
25,81,201,41,186,27,2502,210,150,178,0
26,82,201,41,188,27,2502,209,146,175,0
27,82,201,37,189,27,3190,210,150,179,0
28,81,200,36,189,27,857,210,151,179,0
29,93,200,35,161,27,858,206,153,184,0
30,92,201,35,169,27,858,207,154,183,447
31,91,200,35,172,27,858,208,155,183,0
32,90,200,32,171,27,858,209,156,182,0
33,89,200,31,173,28,838,209,152,182,0
34,89,201,33,175,28,816,209,154,182,0
35,88,199,40,177,28,781,210,153,182,0
36,89,199,48,180,28,713,210,152,181,0
37,89,198,48,184,28,713,209,157,181,0
38,90,198,55,183,28,757,209,149,181,0
39,89,199,55,188,28,801,208,158,182,0
40,89,200,55,189,28,817,210,152,182,0
41,87,201,55,191,28,816,209,156,182,0
42,89,200,55,192,28,744,209,153,183,0
43,89,201,55,193,28,745,209,154,182,0
44,88,199,60,194,28,762,209,155,182,0
45,88,200,68,195,28,785,210,154,181,0
46,87,199,69,196,28,764,210,154,181,0
47,88,199,77,199,28,766,209,154,182,0
48,87,198,77,201,28,788,211,150,181,0
49,90,198,77,201,28,814,205,165,182,0
50,84,199,77,198,28,880,208,153,181,0
51,80,200,76,206,29,874,207,172,180,0
52,83,199,75,193,29,889,209,145,184,0
