标志,信号强度,版本号,心率,皮肤电,温度,IBI,x轴加速度,y轴加速度,z轴加速度,步数
1,0,0,0,0,0,0,0,0,0,0,
2,58,145,173,1832,26,3019,139,67,205,0,
3,64,145,154,1832,26,834,79,74,51,0,
4,61,144,143,1832,26,594,180,72,51,0,
5,60,146,143,1837,26,594,201,77,59,0,
6,71,144,143,1830,26,594,209,78,102,0,
7,76,144,106,1632,26,2901,214,76,140,0,
8,80,144,106,1623,26,2901,207,75,147,0,
9,70,143,106,1650,26,2901,210,94,89,0,
10,69,144,106,1665,26,2901,212,97,77,0,
11,73,143,78,1646,26,4034,210,101,82,0,
12,75,145,78,1643,26,4034,210,100,82,0,
13,75,145,78,1640,26,4034,211,99,82,0,
14,75,145,63,1639,26,768,211,105,84,0,
15,75,144,61,1632,26,758,212,101,87,0,
16,71,144,58,1639,26,771,211,103,79,0,
17,70,143,55,1645,26,720,211,103,78,0,
18,70,144,53,1642,26,698,211,104,83,0,
19,71,143,51,1643,26,702,211,103,80,0,
20,69,144,48,1488,26,201,212,77,108,0,
21,73,143,48,1549,26,201,212,99,93,0,
22,73,144,48,1538,26,201,211,99,92,0,
23,74,145,48,1529,26,201,211,97,99,0,
24,74,144,48,1523,26,201,211,97,97,0,
25,73,144,40,1519,27,756,211,97,91,0,
26,73,143,43,1510,27,772,211,98,98,0,
27,73,144,47,1506,27,766,211,98,96,0,
28,73,143,47,1504,27,734,211,100,97,0,
29,73,144,47,1496,27,713,211,99,95,0,
30,73,145,61,1490,27,678,211,101,98,0,
31,74,145,68,1488,27,673,212,104,93,0,
32,74,144,69,1471,27,666,211,99,99,0,
33,74,143,69,1480,27,661,211,100,96,0,
34,73,146,70,1477,27,661,211,97,107,0,
35,73,143,70,1470,27,668,211,99,97,0,
36,73,144,70,1458,27,680,212,104,98,0,
37,74,143,70,1470,27,688,212,102,103,0,
38,74,143,68,1459,27,682,212,100,104,0,
39,74,143,86,1455,27,689,212,105,101,0,
40,74,144,87,1478,27,696,212,110,94,0,
41,80,144,88,1494,27,671,211,106,101,0,
42,84,143,88,1497,27,663,211,95,90,0,
43,85,144,89,1500,27,656,211,94,89,0,
44,84,144,89,1500,27,667,211,99,87,0,
45,77,142,88,1503,28,703,211,91,88,0,
46,70,143,88,1502,28,699,211,108,72,0,
47,71,144,88,1504,28,679,208,97,70,0,
48,73,143,88,1504,28,680,209,98,72,0,
49,71,143,88,1504,28,673,209,94,71,0,
50,75,144,88,1504,28,693,209,101,71,0,
51,74,145,88,1504,28,704,209,97,72,0,
52,75,143,88,1504,28,692,208,102,71,0,
53,73,144,87,1503,28,697,209,97,71,0,
54,67,142,87,1503,28,695,209,98,72,0,
55,68,143,87,1502,28,684,209,97,71,0,
56,68,143,87,1504,28,714,208,97,73,0,
57,69,144,86,1501,28,722,208,97,71,0,
58,80,144,86,1500,28,711,208,97,71,0,
59,84,142,86,1500,28,731,209,99,71,0,
60,82,144,86,1499,28,708,209,98,71,0,
61,84,143,85,1499,28,716,208,95,70,0,
62,86,144,85,1497,28,724,209,98,71,0,
63,86,144,85,1496,28,711,209,95,71,0,
64,87,143,84,1496,28,705,209,97,71,0,
65,69,141,84,1495,28,733,211,102,76,0,
66,73,143,84,1497,29,723,210,82,81,0,
67,75,142,84,1494,29,698,208,74,72,0,
68,74,143,84,1493,29,704,208,75,73,0,
69,74,143,84,1493,29,684,208,76,72,0,
70,66,143,84,1492,29,690,210,84,74,0,
71,73,143,84,1492,29,702,210,79,76,0,
72,74,143,84,1491,29,671,210,78,75,0,
